F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,yield_mz,yield_sb,yield_wh
1.0,0.75,1.0,1.5,1.0,1.25,1.5,1.0,0.75,1.0,1.0,1.0,0.5,0.5,1.0,1.5,0.75,1.5,1.0,1.0,1.5,0.75,0.75,1.5,0.75,0.75,0.75,0.5,0.75,1.25,0.75,1.0,0.75,0.75,1.0,0.5,0.75,0.75,1.5,1.25,0.75,1.25,1.25,0.5,1.5,1.5,0.75,0.75,1.25,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,3754.0,3112.6666666666665,2006.7777777777778
0.5,0.75,1.5,0.5,1.25,1.5,1.25,1.0,1.25,1.5,1.0,0.75,0.5,0.5,0.75,1.5,0.5,0.5,1.0,1.5,1.5,1.5,0.75,1.0,1.25,1.0,1.25,1.5,0.5,0.75,1.0,1.0,1.5,1.0,1.25,0.5,0.75,1.25,1.5,1.0,1.0,1.25,0.5,0.75,0.5,0.75,1.5,1.5,1.0,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,3701.1111111111113,3115.0,2026.0
1.25,1.5,1.5,0.75,1.25,0.5,1.5,1.0,0.75,0.5,0.75,0.75,1.25,1.25,1.5,1.25,1.0,1.25,0.5,1.0,1.0,1.5,0.75,0.5,1.25,1.5,1.25,1.25,1.0,0.5,0.5,1.0,1.25,0.75,0.75,1.25,0.5,1.0,0.5,1.25,1.25,0.75,0.5,1.25,0.75,1.25,1.5,1.25,1.5,TIO31,TIO31,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO31,TIO34,TIO34,TIO31,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO31,TIO31,TIO31,TIO31,TIO34,TIO31,TIO34,3625.4444444444443,3122.1111111111113,2041.7777777777778
1.0,1.0,1.5,1.0,1.0,1.25,1.25,0.75,0.75,0.75,0.5,0.5,1.25,1.0,1.5,1.0,0.5,1.5,0.75,0.75,1.0,0.5,0.75,1.5,0.75,1.0,1.0,0.5,1.5,1.0,1.0,1.0,0.75,1.0,0.5,1.25,1.0,0.75,1.0,1.0,0.5,0.5,1.0,0.5,1.5,1.0,0.75,1.5,0.75,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO31,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,TIO34,3681.5555555555557,3120.777777777778,2032.3333333333333
1.5,1.5,1.5,1.5,1.0,1.25,1.5,0.5,1.25,1.0,1.0,1.25,1.25,1.25,0.75,1.0,0.75,1.25,1.0,1.5,1.0,0.75,1.0,1.5,0.75,1.25,0.75,0.75,1.25,0.5,0.75,0.75,1.0,0.5,1.25,0.5,1.0,1.25,1.25,0.75,1.0,1.25,0.75,0.75,0.5,1.0,1.0,1.0,1.0,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,TIO34,TIO31,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,3624.222222222222,3115.3333333333335,2046.5555555555557
1.25,0.75,0.75,1.0,0.75,1.5,1.25,1.25,1.25,1.0,1.0,1.0,0.75,1.25,1.25,0.75,1.25,1.25,1.25,0.75,0.75,0.5,0.75,1.0,0.75,1.5,0.75,0.5,1.0,1.0,1.5,1.5,1.25,0.75,0.5,1.0,1.0,0.75,1.25,0.75,1.0,0.75,1.25,1.5,1.25,0.5,1.0,1.5,0.5,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,TIO31,TIO31,TIO34,TIO34,TIO31,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,3769.3333333333335,3110.1111111111113,2007.5555555555557
1.0,0.75,1.5,1.0,1.5,0.75,0.5,0.75,0.75,0.5,1.25,1.0,0.5,0.5,1.5,0.75,1.0,1.5,1.25,0.5,1.5,1.25,1.5,1.25,0.75,0.75,1.25,1.0,0.75,0.5,0.75,0.75,1.25,1.0,0.5,0.75,0.75,0.5,0.5,1.5,1.25,1.0,0.75,0.5,1.5,1.5,0.5,0.5,1.5,TIO34,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,3723.4444444444443,3116.0,2022.4444444444443
1.5,0.75,1.0,1.25,1.5,1.0,0.75,1.5,1.25,1.0,1.25,1.25,0.5,0.75,0.75,1.0,0.5,1.25,1.25,1.25,0.5,1.0,0.75,1.25,0.75,1.0,1.0,1.25,0.5,1.25,1.0,1.5,1.25,1.5,1.0,0.5,1.0,1.5,1.25,1.5,0.5,1.25,1.5,1.0,1.25,1.0,0.75,0.5,1.5,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,TIO31,TIO31,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,3751.222222222222,3110.5555555555557,2012.2222222222222
0.75,1.0,1.5,0.5,1.5,1.5,1.5,1.5,0.75,0.5,1.25,1.25,0.5,1.0,0.5,1.5,0.5,1.0,0.5,0.5,1.5,1.5,1.0,1.25,1.25,1.0,1.0,0.75,0.5,0.5,1.5,0.5,1.5,0.5,1.5,0.75,1.25,0.75,1.5,0.5,1.0,1.5,1.25,0.5,0.5,1.5,0.5,0.5,0.5,TIO31,TIO31,TIO34,TIO34,TIO31,TIO34,TIO31,TIO31,TIO31,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,3689.1111111111113,3123.1111111111113,2023.7777777777778
0.75,0.75,0.75,1.0,0.5,0.5,0.75,1.5,1.5,1.25,1.0,0.5,0.5,1.0,1.0,0.75,1.25,0.75,0.75,1.5,1.0,0.5,1.25,1.0,0.5,0.5,0.75,0.75,1.0,1.0,0.5,0.75,0.75,1.0,1.25,0.75,1.25,1.25,0.5,1.25,1.25,1.0,0.75,1.25,1.0,1.25,0.75,0.75,1.5,TIO34,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,TIO31,3757.0,3113.4444444444443,2002.2222222222222
1.5,0.75,1.5,1.5,1.0,0.5,0.5,1.0,1.25,1.0,0.75,1.25,1.0,1.0,1.0,1.0,1.25,0.5,0.75,1.0,1.5,1.25,1.0,0.75,1.0,0.75,1.0,1.25,0.5,1.5,0.75,0.75,0.75,0.5,1.5,1.5,1.25,1.25,1.5,1.5,1.5,1.25,1.5,0.75,0.5,1.25,1.0,1.5,0.5,TIO34,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,TIO34,3712.6666666666665,3114.3333333333335,2033.6666666666667
1.25,0.75,1.25,1.5,0.75,1.25,0.75,1.0,1.25,0.75,1.5,1.5,0.75,0.5,1.5,1.0,1.5,1.25,1.5,1.5,1.0,1.0,0.5,1.25,0.5,0.5,0.75,1.0,0.5,1.25,1.0,0.5,1.0,1.5,1.0,1.25,1.25,1.0,1.25,1.0,1.0,1.25,1.5,0.75,1.0,1.0,1.5,1.25,1.0,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO34,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO31,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,TIO31,3730.8888888888887,3116.3333333333335,2015.0
1.5,1.0,1.25,1.25,1.0,1.0,0.5,1.25,0.5,1.0,1.5,1.5,1.5,0.75,1.5,0.75,1.5,1.25,1.5,0.5,1.0,1.25,0.5,0.5,1.25,1.5,1.5,1.25,1.5,1.5,1.5,1.5,0.5,0.75,0.5,1.0,0.75,0.75,1.5,1.5,0.75,1.25,1.25,1.25,0.75,0.75,0.5,1.5,1.5,TIO31,TIO34,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,3679.222222222222,3112.8888888888887,2036.4444444444443
1.25,0.75,1.5,1.5,1.0,0.75,0.5,0.75,1.5,1.25,0.75,1.25,0.75,0.5,0.5,1.0,1.0,0.5,1.25,0.5,0.75,1.25,1.25,0.5,0.75,0.5,1.5,1.0,1.0,1.0,1.0,1.25,1.0,1.0,1.5,1.25,0.75,0.5,1.0,1.5,0.5,1.0,1.0,1.25,1.0,0.5,1.25,1.0,1.5,TIO31,TIO34,TIO31,TIO31,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO34,TIO31,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,TIO31,TIO31,TIO31,3716.1111111111113,3114.5555555555557,2029.0
0.5,1.25,1.5,0.5,1.25,1.5,1.25,1.5,1.5,0.5,1.5,1.0,1.5,0.75,1.5,1.5,1.0,1.5,1.5,0.75,0.75,1.5,0.5,1.5,0.75,1.0,1.25,1.25,1.25,0.5,0.75,1.0,1.5,0.75,0.5,0.5,0.5,0.75,0.75,1.0,1.0,1.0,1.0,0.75,0.75,0.5,1.0,0.5,1.0,TIO34,TIO34,TIO31,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO31,3625.5555555555557,3124.5555555555557,2029.888888888889
1.0,0.75,0.75,1.0,1.5,1.5,0.5,1.25,0.75,1.0,1.5,0.5,0.5,0.5,0.75,1.5,1.0,0.5,1.5,1.25,1.25,0.75,1.25,0.5,1.0,0.5,0.5,0.5,0.75,1.5,1.25,1.25,1.25,1.25,0.5,1.25,1.0,1.5,0.5,0.5,0.5,1.25,1.25,0.5,1.5,1.0,0.75,0.75,1.0,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,3770.5555555555557,3113.5555555555557,2001.888888888889
1.5,1.5,1.25,1.5,0.75,1.5,1.0,0.75,0.75,0.75,0.5,1.25,0.5,0.75,1.5,0.75,0.5,1.5,0.5,1.0,1.5,0.5,1.0,1.25,1.5,1.25,0.5,1.25,1.0,1.0,1.0,1.25,1.5,1.25,0.5,1.0,1.5,1.25,1.5,1.25,1.25,1.0,0.5,1.0,1.25,0.75,1.25,1.0,1.0,TIO34,TIO34,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,TIO34,TIO34,TIO31,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,TIO34,TIO31,TIO34,TIO34,3656.0,3112.4444444444443,2039.6666666666667
0.75,0.75,1.0,1.5,0.5,1.0,0.75,1.0,1.25,1.0,0.75,1.5,0.5,0.5,1.0,1.5,0.5,1.5,1.5,1.0,1.5,0.75,0.75,1.5,0.5,1.5,0.75,0.5,1.0,0.5,0.75,0.75,1.5,0.75,1.0,0.5,1.0,1.5,1.0,1.25,0.5,0.75,1.25,0.75,1.25,1.0,0.75,0.75,1.5,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO31,TIO34,TIO34,TIO31,TIO34,TIO31,TIO31,TIO31,TIO31,TIO31,TIO31,TIO31,TIO31,3739.6666666666665,3113.8888888888887,2006.7777777777778
1.25,1.0,1.5,0.75,1.0,1.0,0.5,0.75,1.0,0.75,1.5,1.25,1.5,1.0,0.75,0.5,1.25,1.5,1.25,1.5,1.25,1.25,1.5,1.5,1.0,0.75,1.25,1.0,0.5,1.25,0.75,0.75,0.75,0.75,1.0,0.75,1.5,1.5,1.25,1.25,1.5,1.0,0.75,1.25,0.5,0.75,0.5,1.25,0.5,TIO34,TIO31,TIO34,TIO34,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO31,TIO31,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,3664.6666666666665,3121.8888888888887,2037.888888888889
0.75,1.5,1.5,1.0,0.75,1.5,1.5,0.5,1.5,1.25,1.25,1.25,1.25,1.0,1.25,1.0,0.5,1.5,0.75,1.5,1.5,0.5,1.25,1.5,1.25,0.5,0.75,1.25,1.25,1.0,1.0,0.75,0.75,1.0,0.5,0.75,1.25,0.5,0.5,0.5,0.5,1.5,1.0,0.5,0.5,1.0,0.5,0.75,1.5,TIO31,TIO31,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO31,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,TIO34,TIO31,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,TIO34,TIO34,3627.222222222222,3124.1111111111113,2036.111111111111
1.5,1.0,1.5,1.0,0.5,0.5,1.5,1.0,1.25,0.5,0.5,1.5,0.75,1.25,1.5,0.5,0.5,1.25,1.0,1.0,0.5,1.0,1.0,0.75,1.5,0.5,0.75,1.0,0.5,1.5,0.5,0.5,0.75,0.75,1.0,0.5,1.0,1.25,0.5,1.5,1.5,1.5,1.5,1.5,0.5,1.25,0.5,1.5,0.5,TIO34,TIO34,TIO31,TIO31,TIO31,TIO34,TIO31,TIO34,TIO34,TIO31,TIO31,TIO31,TIO31,TIO34,TIO34,TIO31,TIO34,TIO34,TIO31,TIO34,TIO31,TIO31,TIO31,TIO31,TIO34,TIO31,TIO31,TIO34,TIO34,TIO34,TIO31,3650.1111111111113,3114.222222222222,2041.2222222222222
